year,latitude,longitude,depth,mag
2008,36.448,70.318,198.4,4.1
2008,29.765,67.852,10,3.7
2008,36.734,70.901,218.4,4.3
2008,30.05,89.562,10,3.9
2008,30,89.542,10,3.9
2008,29.909,67.959,10,3.7
2008,30.588,67.865,10,4.1
2008,30.313,67.766,10,4.7
2008,30.268,67.769,10,4.3
2008,30.244,67.693,10,4
2008,30.257,83.519,10,3.8
2008,10.941,92.195,10,4.3
2008,30.078,67.721,10,3.5
2008,30.708,67.915,10,3.8
2008,29.902,67.79,10,3.7
2008,30.544,67.788,10,4.1
2008,30.42,67.684,10,4.8
2008,30.618,67.682,10,4.1
2008,30.289,68.006,10,4.2
2008,30.114,67.767,10,3.7
2008,30.125,67.823,10,4.2
2008,36.56,71.248,116.6,4.2
2008,36.26,68.767,51.5,3.2
2008,37.062,71.873,124.8,4.3
2008,36.49,70.683,210,5.7
2008,36.746,71.215,142.5,4.4
2008,4.83,95.483,167.3,4
2008,5.198,94.76,64.8,4.4
2008,4.961,94.465,35,4.1
2008,30.833,83.533,10,4
2008,30.991,83.557,10,4.2
2008,36.558,71.252,223.2,4.4
2008,4.82,94.167,35,4.5
2008,34.452,73.507,10,3.4
2008,35.882,71.254,105.1,4.3
2008,10.885,91.523,30.4,4.2
2008,29.778,90.6,10,3.6
2008,5.213,94.397,69,4.1
2008,30.517,83.481,10,4.1
2008,31.655,77.465,17.1,4.5
2008,33.85,92.776,25.2,4.8
2008,21.22,93.577,51.9,4.2
2008,35.343,91.262,8.8,5
2008,35.99,71.262,89.6,4.5
2008,5.497,94.215,76.5,4
2008,5.229,94.318,74.7,4
2008,29.651,90.455,10,3.8
2008,5.372,94.399,64.6,4.6
2008,11.015,91.783,6.8,4.5
2008,37.038,71.816,119,4.7
2008,36.326,71.316,106.6,3.9
2008,13.767,93.615,79.6,4.8
2008,36.367,71.461,108.8,4
2008,36.72,71.702,97.2,4.1
2008,12.309,94.849,10,4.2
2008,30.573,83.281,43.6,3.5
2008,12.508,95.031,30,4.2
2008,29.39,69.853,35,3.9
2008,15.798,96.145,35,4.1
2008,33.74,89.713,10,3.4
2008,29.712,90.473,4.9,4.3
2008,36.536,71.385,232.8,3.5
2008,34.517,73.665,10,3.4
2008,35.386,77.149,10,3.5
2008,29.864,90.657,10,3.5
2008,36.723,71.29,88.6,4.2
2008,36.187,71.001,122.7,5.3
2008,29.787,90.506,10,3.7
2008,35.265,81.495,10,3.4
2008,13.676,93.785,64.6,4.3
2008,36.492,70.995,192.7,4.2
2008,29.799,90.511,10,3.9
2008,29.657,90.511,10,4
2008,35.155,81.197,10,3.8
2008,29.797,90.59,10,4.6
2008,30.987,83.563,40.8,3.5
2008,4.436,95.736,76.4,4.2
2008,29.777,90.556,10,4.4
2008,8.409,92.327,35,4.1
2008,9.727,92.608,35,4.4
2008,30.928,83.533,29.4,3.5
2008,36.626,71.059,223.9,3.5
2008,29.654,90.478,10,4.5
2008,29.685,90.624,10,4.5
2008,29.684,90.361,10,4.8
2008,29.708,90.489,10,4
2008,29.757,90.328,9,5.5
2008,29.733,90.547,10,4.3
2008,29.729,90.392,10,3.4
2008,23.403,93.893,65,4.6
2008,27.47,87.843,3.3,3.8
2008,37.019,71.949,119.3,4.8
2008,34.817,73.937,41.6,3.5
2008,36.618,71.522,172,4.7
2008,29.652,90.498,10,4.1
2008,34.074,69.992,10,4.2
2008,29.756,90.572,10,3.4
2008,29.77,90.631,10,4.7
2008,36.257,70.978,103.7,4.5
2008,33.671,69.533,10,4.3
2008,29.752,91.048,24.5,4.6
2008,29.741,90.404,10,4.4
2008,35.324,81.222,26,4
2008,29.764,90.464,10,4.9
2008,5.42,94.534,60.4,5
2008,29.653,90.32,10,5.2
2008,29.747,90.354,10,4.2
2008,29.78,90.468,10,3.9
2008,29.696,90.422,10,4.4
2008,29.806,90.42,10,5.1
2008,29.863,90.555,10,3.6
2008,29.623,90.432,10,3.7
2008,29.706,90.435,10,3.9
2008,29.647,90.665,10,3.8
2008,29.722,90.572,10,4
2008,29.752,90.461,10,5
2008,29.773,90.435,10,4.7
2008,29.748,90.44,10,4.6
2008,29.643,90.401,10,4.8
2008,29.807,90.35,12,6.3
2008,33.886,69.47,10,6
2008,33.297,92.419,10,3.5
2008,21.223,70.995,10,3.8
2008,30.738,83.224,10,4.3
2008,30.658,83.278,10,4
2008,36.534,70.963,199.1,4.3
2008,10.52,91.554,10,3.9
2008,36.185,71.15,107.1,4.5
2008,10.784,91.702,26.2,4
2008,10.716,91.718,10,4.3
2008,10.546,91.663,10,4.2
2008,24.911,96.438,10,3.9
2008,10.443,91.866,10,4.5
2008,10.595,91.608,10,4.1
2008,10.63,91.738,10,4.4
2008,10.539,91.549,25.4,3.8
2008,10.595,91.722,10,4.2
2008,10.721,91.789,10,3.9
2008,10.742,91.765,30.8,4
2008,10.743,91.725,28,4.2
2008,10.595,91.569,10,4.6
2008,10.585,91.628,10,4.3
2008,10.662,91.498,10,4.3
2008,10.526,91.578,10,4
2008,10.764,91.659,19,5.6
2008,10.67,91.687,10,4.3
2008,10.733,91.715,28.4,4.5
2008,36.633,70.982,223.8,4.6
2008,36.614,70.9,186.1,4.6
2008,33.236,91.988,10,3.9
2008,36.499,70.95,192.8,3.7
2008,30.684,83.218,10,3.6
2008,23.748,93.896,45.9,3.9
2008,36.588,71.034,230.4,4.5
2008,30.519,83.355,10,3.7
2008,30.748,83.143,27.3,3.6
2008,36.635,71.503,97.1,4.5
2008,8.874,93.555,35,3.9
2008,34.972,73.657,56.4,4.1
2008,20.947,92.689,35,4.1
2008,4.211,93.049,11.5,4
2008,30.744,83.439,10,3.8
2008,30.69,83.112,10,3.3
2008,30.884,83.482,10,4.9
2008,37.085,71.839,111.9,4.4
2008,30.361,83.04,35.4,3.9
2008,30.6,83.433,46,3.5
2008,30.822,83.512,10,4.1
2008,30.836,83.432,10,3.6
2008,30.973,83.598,10,3.8
2008,30.789,83.404,10,4.3
2008,30.836,83.487,4,6
2008,36.153,71.253,99.6,5.2
2008,35.569,81.822,10,3.9
2008,36.487,71.02,201,4.6
